fold,split,subject,nsdId_1,nsdId_2,same_image,repeat_pair,similarity,session_1,session_2
fold_01,train,2,2950,2950,1,1-2,0.9002723563962322,4,13
fold_01,train,2,2950,3049,0,1-2,0.8720901811436343,4,9
fold_01,train,2,2990,2990,1,1-2,0.9443945067130979,25,25
fold_01,train,2,2990,39841,0,1-2,0.8477598232287943,25,28
fold_01,train,2,3049,3049,1,1-2,0.945148603802578,9,9
fold_01,train,2,3049,47321,0,1-2,0.9200394897641102,9,6
fold_01,train,2,3077,3077,1,1-2,0.9381108920803396,6,7
fold_01,train,2,3077,24202,0,1-2,0.8326835791383909,6,8
fold_01,train,2,3146,3146,1,1-2,0.924718078216608,11,12
fold_01,train,2,3146,26163,0,1-2,0.8609698017152472,11,16
fold_01,train,2,3157,3157,1,1-2,0.9373052989842676,2,11
fold_01,train,2,3157,51745,0,1-2,0.8578750179628372,2,4
fold_01,train,2,3164,3164,1,1-2,0.8485200385516107,16,24
fold_01,train,2,3164,70427,0,1-2,0.8946976695395304,16,11
fold_01,train,2,3171,3171,1,1-2,0.9104383335033979,3,17
fold_01,train,2,3171,30395,0,1-2,0.8024195559777418,3,7
fold_01,train,2,3181,3181,1,1-2,0.9349638230768482,11,11
fold_01,train,2,3181,48260,0,1-2,0.7214219958156328,11,12
fold_01,train,2,3386,3386,1,1-2,0.9386250513922559,16,16
fold_01,train,2,3386,69214,0,1-2,0.8175854660166799,16,5
fold_01,train,2,3434,3434,1,1-2,0.932716518926962,24,25
fold_01,train,2,3434,4249,0,1-2,0.8607070991231668,24,11
fold_01,train,2,3449,3449,1,1-2,0.8531652796680487,5,5
fold_01,train,2,3449,53773,0,1-2,0.7163493910407785,5,26
fold_01,train,2,3489,3489,1,1-2,0.8902087502693818,10,10
fold_01,train,2,3489,49466,0,1-2,0.868168123052614,10,14
fold_01,train,2,3626,3626,1,1-2,0.8940209155715257,1,2
fold_01,train,2,3626,24202,0,1-2,0.9268038901092555,1,8
fold_01,train,2,3682,3682,1,1-2,0.9500127916363373,4,7
fold_01,train,2,3682,28788,0,1-2,0.8279052136730627,4,30
fold_01,train,2,3687,3687,1,1-2,0.9521611642025949,18,26
fold_01,train,2,3687,66004,0,1-2,0.8324806014990216,18,7
fold_01,train,2,3729,3729,1,1-2,0.9094361425177572,24,26
fold_01,train,2,3729,67802,0,1-2,0.8264417056099584,24,11
fold_01,train,2,3809,3809,1,1-2,0.8606604469256178,17,17
fold_01,train,2,3809,54698,0,1-2,0.7206688842449303,17,19
fold_01,train,2,3842,3842,1,1-2,0.9191633889301418,24,25
